,date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
700,2020-06-17,88.7875,88.85,87.7725,87.8975,86.417274,114388504,28597126,-0.89,-1.0,88.43,"June 17, 20",-0.01
699,2020-06-18,87.8525,88.3625,87.305,87.9325,86.451691,96820384,24205096,0.08,0.09106172,87.89,"June 18, 20",0.0009106172
698,2020-06-19,88.6588,89.14,86.2875,87.43,85.957657,264475808,66118952,-1.2288,-1.39,87.62,"June 19, 20",-0.0139
697,2020-06-22,87.835,89.865,87.7875,89.7175,88.206635,135445064,33861266,1.8825,2.14,89.14,"June 22, 20",0.0214
696,2020-06-23,91.0,93.095,90.5675,91.6325,90.089386,212155476,53038869,0.6325,0.69505,91.92,"June 23, 20",0.0069505
695,2020-06-24,91.25,92.1975,89.63,90.015,88.499123,192623396,48155849,-1.235,-1.35,90.57,"June 24, 20",-0.0135
694,2020-06-25,90.175,91.25,89.3925,91.21,89.673996,137522512,34380628,1.035,1.15,90.47,"June 25, 20",0.0115
693,2020-06-26,91.1025,91.33,88.255,88.4075,86.918701,205256844,51314211,-2.695,-2.96,89.32,"June 26, 20",-0.0296
692,2020-06-29,88.3125,90.5434,87.82,90.445,88.921875,130646076,32661519,2.1325,2.41,89.67,"June 29, 20",0.0241
691,2020-06-30,90.02,91.495,90.0,91.2,89.664177,140217996,35054499,1.18,1.31,90.97,"June 30, 20",0.0131
690,2020-07-01,91.28,91.84,90.9775,91.0275,89.494568,110737236,27684309,-0.2525,-0.27662,91.43,"July 01, 20",-0.0027662
689,2020-07-02,91.9625,92.6175,90.91,91.0275,89.494568,114041468,28510367,-0.935,-1.02,91.76,"July 02, 20",-0.0102
688,2020-07-06,92.5,93.945,92.4675,93.4625,91.888557,118655652,29663913,0.9625,1.04,93.35,"July 06, 20",0.0104
687,2020-07-07,93.8525,94.655,93.0575,93.1725,91.603462,112419852,28104963,-0.68,-0.72454,93.93,"July 07, 20",-0.0072454
686,2020-07-08,94.18,95.375,94.09,95.3425,93.736908,117091880,29272970,1.1625,1.23,94.89,"July 08, 20",0.0123
685,2020-07-09,96.2625,96.3175,94.6725,95.6825,94.140022,125632928,31408232,-0.58,-0.60252,95.62,"July 09, 20",-0.0060252
684,2020-07-10,95.335,95.98,94.7052,95.92,94.304672,90257320,22564330,0.585,0.61363,95.45,"July 10, 20",0.0061363
683,2020-07-13,97.265,99.955,95.2575,95.4775,93.869637,191649140,47912285,-1.7875,-1.84,97.93,"July 13, 20",-0.0184
682,2020-07-14,94.84,97.255,93.8775,97.0575,95.423035,170984564,42746141,2.2175,2.34,95.83,"July 14, 20",0.0234
681,2020-07-15,98.99,99.2475,96.49,97.725,96.079285,153175132,38293783,-1.265,-1.28,97.8,"July 15, 20",-0.0128
680,2020-07-16,96.5625,97.405,95.905,96.5225,94.897034,110572372,27643093,-0.04,-0.04142395,96.47,"July 16, 20",-0.0004142395
679,2020-07-17,96.9875,97.1475,95.84,96.3275,94.705322,92164500,23041125,-0.66,-0.6805,96.48,"July 17, 20",-0.006805
678,2020-07-20,96.4163,98.5,96.0625,98.3575,96.701134,90317908,22579477,1.9412,2.01,97.44,"July 20, 20",0.0201
677,2020-07-21,99.1725,99.25,96.7425,97.0,95.366486,103644436,25911109,-2.1725,-2.19,97.82,"July 21, 20",-0.0219
676,2020-07-22,96.6925,97.975,96.6025,97.2725,95.634399,88994732,22248683,0.58,0.59984,97.17,"July 22, 20",0.0059984
675,2020-07-23,96.9984,97.0775,92.0098,92.845,91.281479,197003632,49250908,-4.1534,-4.28,94.01,"July 23, 20",-0.0428
674,2020-07-24,90.9875,92.97,89.145,92.615,91.055344,185433708,46358427,1.6275,1.79,91.6,"July 24, 20",0.0179
673,2020-07-27,93.71,94.905,93.48,94.81,93.213371,121199392,30299848,1.1,1.17,94.38,"July 27, 20",0.0117
672,2020-07-28,94.3675,94.5497,93.2475,93.2525,91.682106,103581500,25895375,-1.115,-1.18,93.83,"July 28, 20",-0.0118
671,2020-07-29,93.75,95.23,93.7125,95.04,93.439491,90329256,22582314,1.29,1.38,94.58,"July 29, 20",0.0138
670,2020-07-30,94.1875,96.2975,93.7675,96.19,94.570129,158116020,39529005,2.0025,2.13,96.49,"July 30, 20",0.0213
669,2020-07-31,102.8838,106.415,100.825,106.26,104.470558,374295468,93573867,3.3762,3.28,103.47,"July 31, 20",0.0328
668,2020-08-03,108.2,111.6364,107.8925,108.9375,107.102966,308150416,77037604,0.7375,0.68161,109.66,"August 03, 20",0.0068161
667,2020-08-04,109.1325,110.79,108.3875,109.665,107.818222,172688068,43172017,0.5325,0.48794,109.66,"August 04, 20",0.0048794
666,2020-08-05,109.3775,110.3925,108.8975,110.0625,108.209015,121991952,30497988,0.685,0.62627,109.66,"August 05, 20",0.0062627
665,2020-08-06,110.405,114.4125,109.7975,113.9025,111.984344,202411900,50602975,3.4975,3.17,112.49,"August 06, 20",0.0317
664,2020-08-07,113.205,113.675,110.2925,111.1125,109.438293,198019812,49504953,-2.0925,-1.85,111.99,"August 07, 20",-0.0185
663,2020-08-10,112.6,113.775,110.0,112.7275,111.028969,212402024,53100506,0.1275,0.11323,112.32,"August 10, 20",0.0011323
662,2020-08-11,111.9688,112.4825,109.1067,109.375,107.726982,187902376,46975594,-2.5938,-2.32,111.0,"August 11, 20",-0.0232
661,2020-08-12,110.4975,113.275,110.2975,113.01,111.307205,165942820,41485705,2.5125,2.27,112.25,"August 12, 20",0.0227
660,2020-08-13,114.43,116.0425,113.9275,115.01,113.277077,210082064,52520516,0.58,0.50686,114.97,"August 13, 20",0.0050686
659,2020-08-14,114.8288,115.0,113.045,114.9075,113.176125,165423808,41355952,0.0787,0.06853681,114.18,"August 14, 20",0.0006853681
658,2020-08-17,116.0625,116.0875,113.9625,114.6075,112.880646,119561044,29890261,-1.455,-1.25,114.84,"August 17, 20",-0.0125
657,2020-08-18,114.3525,116.0,114.0075,115.5625,113.821259,105633540,26408385,1.21,1.06,115.22,"August 18, 20",0.0106
656,2020-08-19,115.9833,117.1625,115.61,115.7075,113.964066,145538008,36384502,-0.2758,-0.23779,116.42,"August 19, 20",-0.0023779
655,2020-08-20,115.75,118.392,115.7334,118.275,116.492882,126871188,31717797,2.525,2.18,117.39,"August 20, 20",0.0218
654,2020-08-21,119.2625,124.868,119.25,124.37,122.49604,337454640,84363660,5.1075,4.28,122.66,"August 21, 20",0.0428
653,2020-08-24,128.6975,128.785,123.9363,125.8575,123.961128,345905768,86476442,-2.84,-2.21,126.32,"August 24, 20",-0.0221
